word,ppvt,strgth,close,betw,eigen,degree,freq,strgth-rank,close-rank,betw-rank,eigen-rank,degree-rank,freq-rank
luggage,109,13.613374490887509,1.0907050494342216,0.0,0.21397834996254167,62,21,69.0,69.0,94.0,70.0,50.0,91.0
vine,111,11.764695961610414,1.0772796825015285,0.0,0.16310042683233678,42,100,152.0,152.0,94.0,136.0,150.5,50.0
digital,112,13.818131435080431,1.0923960204348702,0.0,0.23579996572680975,59,2,64.0,63.0,94.0,57.0,61.5,148.0
predatory,114,16.3092515945973,1.110428390205115,0.0,0.30805740270286336,72,2,36.0,36.0,94.0,38.0,24.0,148.0
surprised,116,22.807090905378573,1.1887739437893197,0.0,0.5893155455076198,76,263,27.0,27.0,94.0,27.0,9.5,31.0
palm,117,13.102645125472918,1.0869719712993307,0.0,0.20495965847849787,51,83,92.0,93.0,94.0,79.0,98.5,56.0
valley,119,31.501157782389782,1.2599325584665526,17.0,0.9100903441050544,80,484,8.0,5.0,12.5,9.0,4.5,15.0
pastry,122,15.120286205667071,1.1027003658928445,0.0,0.24798303527732918,64,13,43.0,42.0,94.0,53.0,45.5,102.5
fragile,124,14.323073181236396,1.095693260715992,0.0,0.21282314271182318,58,11,54.0,55.0,94.0,71.0,68.0,107.0
solo,125,13.90092252928298,1.092674095793984,0.0,0.23220850397813259,57,11,62.0,62.0,94.0,60.0,72.0,107.0
snarling,126,13.049164462718181,1.0866331595117629,0.0,0.18469971643189073,48,3,97.0,95.0,94.0,97.0,118.5,138.0
puzzled,127,13.748415249516256,1.0915026305535989,0.0,0.20433711290828369,50,66,65.0,65.0,94.0,82.0,103.0,63.0
beverage,128,12.275375159573741,1.080914610440786,0.0,0.16583656347151385,49,4,132.0,132.0,94.0,132.0,109.5,130.5
inflated,129,10.896315982507076,1.0711854261982547,0.0,0.12257685776381029,38,2,163.0,163.0,94.0,165.0,160.5,148.0
tusk,130,12.630333671229891,1.0834713265484,0.0,0.20486735111145124,49,25,119.0,119.0,94.0,80.0,109.5,86.5
trumpet,131,13.59608628868591,1.0903971575818319,0.0,0.1956316956830784,55,87,70.0,70.0,94.0,89.0,78.5,53.0
coast,137,13.122228529959102,1.0870518899209494,0.0,0.22890456747146748,50,119,91.0,90.0,94.0,64.0,103.0,48.0
fern,139,12.711120749940164,1.0840812516419542,0.0,0.18434653403943613,48,150,114.0,113.0,94.0,98.0,118.5,43.0
clamp,143,15.486115284031257,1.1043706280320869,0.0,0.326092893610613,59,3,40.0,40.0,94.0,34.0,61.5,138.0
dilapidated,144,14.990757079271134,1.1010420170973136,0.0,0.27264831706882997,61,10,45.0,45.0,94.0,42.0,54.0,110.5
pedestrian,145,12.104875499731861,1.0797353354612937,0.0,0.1674188025686981,43,3,144.0,144.0,94.0,127.0,143.5,138.0
interior,146,14.332109169103205,1.0957816505036484,0.0,0.24956420511824637,65,32,53.0,53.0,94.0,50.0,43.0,80.5
garment,147,12.955332449702837,1.0857913815091973,0.0,0.19466532046548585,49,165,103.0,103.0,94.0,90.0,109.5,40.0
feline,149,13.943196413863916,1.0929194550373065,0.0,0.23916685055272768,59,3,61.0,61.0,94.0,56.0,61.5,138.0
hedge,150,16.532088898005895,1.1121063475739594,0.0,0.32073107700531095,71,98,34.0,34.0,94.0,35.0,26.0,51.0
hovering,153,11.431250397517942,1.074925241422651,0.0,0.13720059530697085,37,9,159.0,159.0,94.0,161.0,162.0,114.5
aquatic,154,11.78499585184909,1.077423352039453,0.0,0.16226498983265158,46,4,151.0,151.0,94.0,139.0,129.0,130.5
carpenter,156,10.883779447096458,1.0711804878027065,0.0,0.1481428842662763,44,36,164.0,164.0,94.0,155.0,137.0,75.0
primate,157,13.581330850545783,1.0903219708944447,0.0,0.1881302168720325,57,1,71.0,71.0,94.0,96.0,72.0,159.0
weary,159,30.17499087199394,1.2470576915017033,21.0,0.9040414794813829,68,348,13.0,11.0,11.0,11.0,34.5,25.0
hatchet,160,17.114115829986986,1.1170171781613738,0.0,0.3440740688783576,65,22,33.0,33.0,94.0,32.0,43.0,89.0
transparent,161,12.828719750294113,1.0849275169355785,0.0,0.17946498563391342,49,33,110.0,110.0,94.0,104.0,109.5,77.5
valve,164,13.025320581160486,1.0870121662875378,0.0,0.22219894269084034,53,1,99.0,91.0,94.0,67.0,91.0,159.0
pillar,166,14.435887468629517,1.0967572643698467,0.0,0.2643051903966127,61,75,52.0,52.0,94.0,45.0,54.0,59.0
consuming,167,16.08714815057465,1.1087609896599877,0.0,0.29116337446696,73,1,38.0,38.0,94.0,41.0,20.0,159.0
currency,168,12.132674071601286,1.0799564129994794,0.0,0.16682274855999685,52,6,143.0,143.0,94.0,128.0,94.0,123.0
hazardous,169,11.446320126680803,1.07503142589668,0.0,0.13944964095155807,41,1,158.0,158.0,94.0,160.0,156.5,159.0
poultry,172,14.825328828039346,1.0993823462895354,0.0,0.3019788522457598,59,13,46.0,46.0,94.0,40.0,61.5,102.5
peninsula,174,12.07173560874071,1.079456812444408,0.0,0.1479432396480603,42,6,145.0,145.0,94.0,156.0,150.5,123.0
porcelain,175,13.41551487500692,1.089174265010246,0.0,0.21209605552310917,54,8,77.0,77.0,94.0,73.0,85.5,117.5
cerebral,177,16.14721946348436,1.1092743907737526,0.0,0.31404946967355946,66,1,37.0,37.0,94.0,37.0,39.5,159.0
perpendicular,178,12.379407725460624,1.0819217638197844,0.0,0.1799377821501293,50,5,126.0,126.0,94.0,103.0,103.0,127.0
lever,181,13.063632228644565,1.0865505936146145,0.0,0.17869118362732433,48,3,95.0,97.0,94.0,106.0,118.5,138.0
apparel,182,12.689534269055002,1.0838687447080528,0.0,0.14955286584208421,58,9,115.0,115.0,94.0,153.0,68.0,114.5
talon,183,12.377290394855663,1.0816321672860787,0.0,0.170415644970862,48,10,127.0,127.0,94.0,121.0,118.5,110.5
wedge,185,13.197591362244566,1.0875324869936565,0.0,0.1695546415974911,58,28,85.0,87.0,94.0,124.0,68.0,84.0
ascending,186,13.152428509667516,1.0872647911251483,0.0,0.19023301422095712,55,1,87.0,88.0,94.0,93.0,78.5,159.0
maritime,189,12.439187642838078,1.0821340173734553,0.0,0.20430312553825025,47,6,125.0,125.0,94.0,83.0,124.5,123.0
dejected,191,11.376895856985357,1.0745424221376385,0.0,0.15002835623153257,43,4,161.0,161.0,94.0,152.0,143.5,130.5
confiding,194,13.05538925944711,1.0864912579216692,0.0,0.16393217232455676,56,14,96.0,98.0,94.0,135.0,74.5,100.0
mercantile,195,12.168000172096072,1.0801412099286585,0.0,0.17464325670329983,44,2,138.0,140.0,94.0,114.0,137.0,148.0
barb,201,13.02235916024074,1.086329397755287,0.0,0.1898821508691364,54,5,100.0,100.0,94.0,94.0,85.5,127.0
angler,204,13.345750741311349,1.088585292528957,0.0,0.17795450142882943,48,1,80.0,81.0,94.0,108.0,118.5,159.0
pestle,209,13.29440121317748,1.0882835584937403,0.0,0.17497338408017635,54,7,83.0,83.0,94.0,113.0,85.5,119.5
reposing,210,12.87194359707064,1.0851898355562675,0.0,0.15344338334439112,47,1,106.0,106.0,94.0,151.0,124.5,159.0
cupola,211,12.85476732160896,1.0850491086871494,0.0,0.20210532204873868,55,9,107.0,107.0,94.0,87.0,78.5,114.5
embossed,214,13.036748744023498,1.0864215157786388,0.0,0.16210609223997646,49,2,98.0,99.0,94.0,140.0,109.5,148.0
torrent,215,30.30787340918323,1.2425597305079459,9.0,0.8927344105545444,78,32,11.0,13.0,17.0,13.0,6.0,80.5
dromedary,216,13.520457342267036,1.0898966737936076,0.0,0.21250727677637576,52,3,73.0,73.0,94.0,72.0,94.0,138.0
cairn,218,12.201900214422494,1.080636205843102,0.0,0.14946833923340108,43,2,136.0,136.0,94.0,154.0,143.5,148.0
supine,220,16.358246326621156,1.110796884483029,0.0,0.3167410339301893,71,1,35.0,35.0,94.0,36.0,26.0,159.0
lugubrious,222,12.341537656495348,1.0813771778098469,0.0,0.17659151243339516,40,5,129.0,131.0,94.0,111.0,159.0,127.0
